data,adresas,pasto_kodas,tipas,plotas_m2,kambariai,priklausiniai,kaina_eur,eur_m2,atstumas_m,latitude,longitude,sklypas
2023-02-22,48 RUE RAYER,44150.0,butas,154.0,4.0,1,325000.0,2110.0,0.0,47.365786,-1.17784,44003000BC0148
2024-05-06,139 RUE DU ROI ALBERT 1ER,44150.0,namas,79.0,3.0,0,245000.0,3101.0,53.0,47.36626,-1.177942,44003000BC0180
2025-12-29,14 RUE GEORGES CLEMENCEAU,44150.0,butas,48.0,2.0,1,74000.0,1542.0,59.0,47.366242,-1.178231,44003000BC0167
2025-11-27,65 RUE DU ROI ALBERT 1ER,44150.0,butas,50.0,2.0,2,95000.0,1900.0,68.0,47.366017,-1.177011,44003000BC0129
2023-05-15,65 RUE DU ROI ALBERT 1ER,44150.0,butas,56.0,2.0,2,145000.0,2589.0,68.0,47.366017,-1.177011,44003000BC0129
2023-10-23,65 RUE DU ROI ALBERT 1ER,44150.0,butas,58.0,2.0,2,110000.0,1897.0,68.0,47.366017,-1.177011,44003000BC0129
2025-11-28,64 RUE ARISTIDE BRIAND,44150.0,namas,178.0,4.0,0,275000.0,1545.0,86.0,47.365203,-1.178593,44003000AD0169
2025-07-17,17 RUE DU ROI ALBERT 1ER,44150.0,butas,94.0,4.0,0,198000.0,2106.0,112.0,47.366079,-1.17642,44003000BC0127
2025-07-23,40 RUE DE CHAROST,44150.0,butas,22.0,1.0,1,60000.0,2727.0,120.0,47.365542,-1.179395,44003000BE0065
2025-01-14,78 RUE DES QUAIS,44150.0,butas,40.0,2.0,0,61000.0,1525.0,127.0,47.365509,-1.176207,44003000BC0081
2025-02-21,31 IMP BAREME,44150.0,butas,29.0,2.0,1,95000.0,3276.0,132.0,47.366948,-1.178166,44003000BK0073
2025-05-27,75 RUE DES QUAIS,44150.0,namas,110.0,4.0,0,275000.0,2500.0,133.0,47.365262,-1.176262,44003000BC0095
2023-11-30,129 RUE SAINT PAUL,44150.0,butas,70.0,3.0,0,170000.0,2429.0,142.0,47.365494,-1.176003,44003000BC0077
2025-11-04,22 PL IENA,44150.0,namas,136.0,4.0,1,287000.0,2110.0,145.0,47.364629,-1.178719,44003000AD0159
2025-06-27,120 RUE GEORGES CLEMENCEAU,44150.0,namas,280.0,6.0,1,458495.0,1637.0,154.0,47.367154,-1.178144,44003000BK0070
2025-02-28,9002 RUE TARTIFUME,44150.0,namas,66.0,4.0,1,263750.0,3996.0,164.0,47.365513,-1.179978,44003000BE0060
2023-06-30,39 RUE DES QUAIS,44150.0,namas,90.0,4.0,0,218000.0,2422.0,167.0,47.365236,-1.175785,44003000BC0097
2023-04-20,34 RUE BASSE GRANDE RUE,44150.0,namas,90.0,4.0,0,294000.0,3267.0,172.0,47.364373,-1.178758,44003000AD0154
2023-10-06,26 RUE BASSE GRANDE RUE,44150.0,namas,174.0,6.0,1,520000.0,2989.0,180.0,47.364256,-1.178619,44003000AD0152
2025-09-24,48 RUE EMILIEN MAILLARD,44150.0,namas,57.0,3.0,1,200000.0,3509.0,192.0,47.364886,-1.180018,44003000AD0098
2023-07-31,143 RUE GEORGES CLEMENCEAU,44150.0,namas,99.0,4.0,1,240000.0,2424.0,193.0,47.367375,-1.178873,44003000BK0031
2024-01-24,13 RUE DES QUAIS,44150.0,namas,105.0,5.0,1,450000.0,4286.0,193.0,47.36519,-1.175435,44003000BC0099
2025-10-29,124 RUE DE CHAROST,44150.0,namas,77.0,4.0,0,188000.0,2442.0,198.0,47.365528,-1.180444,44003000BE0037
2025-01-24,63 RUE SAINT PAUL,44150.0,namas,113.0,4.0,0,185000.0,1637.0,199.0,47.3657,-1.175201,44003000BC0050
2023-09-25,193 AV ROBERT SCHUMAN,44150.0,butas,104.0,6.0,1,212000.0,2038.0,201.0,47.367505,-1.177009,44003000BK0090
2023-11-08,215 BD LEON SECHE,44150.0,butas,88.0,5.0,1,165000.0,1875.0,201.0,47.367505,-1.177009,44003000BK0090
