data,adresas,pasto_kodas,tipas,plotas_m2,kambariai,priklausiniai,kaina_eur,eur_m2,atstumas_m,latitude,longitude,sklypas
2022-03-10,12 RUE DU RIBATEAU,44330.0,namas,80.0,3.0,0,190266.0,2378.0,16.0,47.161083,-1.266371,44212000AY1478
2025-03-12,4 RUE DU RIBATEAU,44330.0,butas,42.0,3.0,0,110000.0,2619.0,16.0,47.160952,-1.266749,44212000AY0608
2021-04-21,18 RUE DES FORGES,44330.0,namas,75.0,3.0,0,100000.0,1333.0,43.0,47.160925,-1.267111,44212000AY0600
2024-07-02,8344 IMP DES FORGES,44330.0,namas,87.0,5.0,1,154000.0,1770.0,68.0,47.160571,-1.267181,44212000AY1378
2022-08-22,12 RUE DE L ACADEMIE,44330.0,namas,19.0,1.0,0,136600.0,7189.0,69.0,47.160462,-1.266168,44212000AY0470
2021-11-22,3 RLE DES TEINTURIERS,44330.0,namas,22.0,1.0,0,39000.0,1773.0,72.0,47.16051,-1.26715,44212000AY0519
2023-06-15,35 RUE DES FORGES,44330.0,butas,55.0,3.0,0,130000.0,2364.0,76.0,47.160691,-1.267449,44212000AY1597
2025-12-19,34 RUE DES FORGES,44330.0,namas,62.0,3.0,0,157000.0,2532.0,92.0,47.161002,-1.267775,44212000AY0589
2024-06-06,4 RUE DE L ACADEMIE,44330.0,namas,38.0,2.0,0,120000.0,3158.0,94.0,47.160242,-1.266058,44212000AY0454
2021-06-28,3 RUE DU BON CONSEIL,44330.0,namas,50.0,3.0,1,159000.0,3180.0,96.0,47.160543,-1.267612,44212000AY1552
2024-08-05,8 RLE DES TEINTURIERS,44330.0,namas,102.0,6.0,1,380000.0,3725.0,100.0,47.160242,-1.267214,44212000AY0513
2024-11-19,13 RUE TRAVERSIERE,44330.0,butas,42.0,2.0,0,123000.0,2929.0,102.0,47.161366,-1.267801,44212000AY0582
2022-07-12,13 RUE TRAVERSIERE,44330.0,butas,87.0,4.0,1,255000.0,2931.0,102.0,47.161366,-1.267801,44212000AY0582
2023-11-20,13 RUE TRAVERSIERE,44330.0,butas,58.0,3.0,1,185164.0,3192.0,102.0,47.161366,-1.267801,44212000AY0582
2022-09-08,13 RUE TRAVERSIERE,44330.0,butas,42.0,2.0,0,90000.0,2143.0,102.0,47.161366,-1.267801,44212000AY0582
2022-05-17,42 RUE DES FORGES,44330.0,namas,60.0,3.0,1,175023.0,2917.0,103.0,47.160885,-1.267907,44212000AY0565
2023-07-21,8 RUE FRANCOIS LUNEAU,44330.0,namas,60.0,3.0,0,78000.0,1300.0,104.0,47.16172,-1.265648,44212000AY0110
2022-01-10,4 RUE DE BAZOGES,44330.0,butas,64.0,3.0,0,180000.0,2812.0,110.0,47.160551,-1.265285,44212000AY0395
2021-09-17,46 RUE DES FORGES,44330.0,namas,126.0,4.0,1,252900.0,2007.0,111.0,47.160886,-1.268011,44212000AY0563
2025-01-27,19 RUE DU PROGRES,44330.0,namas,97.0,3.0,1,146000.0,1505.0,125.0,47.159913,-1.266845,44212000AY0500
2022-11-29,13 RUE SAINT CHRISTOPHE,44330.0,namas,150.0,6.0,2,280000.0,1867.0,140.0,47.15989,-1.26573,44212000AY1766
2025-09-25,3 RUE DU PETIT FOUR,44330.0,namas,65.0,3.0,0,137000.0,2108.0,141.0,47.160977,-1.264692,44212000AY1911
2025-09-04,5 RUE DU PROGRES,44330.0,butas,50.0,2.0,0,135000.0,2700.0,146.0,47.160534,-1.26836,44212000AY1365
2021-04-07,12 RUE DU PROGRES,44330.0,butas,52.0,2.0,1,175000.0,3365.0,148.0,47.159758,-1.267173,44212000AY0440
2025-09-01,12 RUE DU PROGRES,44330.0,butas,43.0,2.0,1,136000.0,3163.0,148.0,47.159758,-1.267173,44212000AY0440
2023-03-10,12 RUE DU PROGRES,44330.0,butas,65.0,3.0,1,250000.0,3846.0,148.0,47.159758,-1.267173,44212000AY0440
2023-07-26,12 RUE DU PROGRES,44330.0,butas,69.0,3.0,1,267000.0,3870.0,148.0,47.159758,-1.267173,44212000AY0440
2021-10-20,12 RUE DU PROGRES,44330.0,butas,65.0,3.0,1,200000.0,3077.0,148.0,47.159758,-1.267173,44212000AY0440
2025-02-28,12 RUE DU PROGRES,44330.0,butas,54.0,2.0,2,115000.0,2130.0,148.0,47.159758,-1.267173,44212000AY0440
2025-08-01,12 RUE DU PROGRES,44330.0,butas,86.0,4.0,2,278218.0,3235.0,148.0,47.159758,-1.267173,44212000AY0440
2025-08-25,12 RUE DU PROGRES,44330.0,butas,45.0,2.0,1,140775.0,3128.0,148.0,47.159758,-1.267173,44212000AY0440
2023-10-19,14 RUE DU PROGRES,44330.0,butas,29.0,2.0,1,99999.0,3448.0,150.0,47.159682,-1.266863,44212000AY1444
2021-05-21,14 RUE DU PROGRES,44330.0,butas,29.0,2.0,1,97500.0,3362.0,150.0,47.159682,-1.266863,44212000AY1444
