data,adresse,pasto_kodas,tipas,plotas_m2,kambariai,priklausiniai,kaina_eur,eur_m2,atstumas_m,latitude,longitude,sklypas
2022-09-22,51 RUE DE LA VILLE EN PIERRE,44000.0,namas,314.0,9.0,1,574004.0,1828.0,0.0,47.224757,-1.528421,44109000CH0276
2021-06-03,53 RUE DE LA VILLE EN PIERRE,44000.0,namas,102.0,5.0,0,524553.0,5143.0,19.0,47.224807,-1.528662,44109000CH0275
2022-07-29,49 RUE DE LA VILLE EN PIERRE,44000.0,namas,163.0,8.0,1,531460.0,3260.0,20.0,47.22474,-1.528158,44109000CH0277
2021-08-18,53 RUE DE LA VILLE EN PIERRE,44000.0,namas,102.0,5.0,0,588403.0,5769.0,31.0,47.224848,-1.528814,44109000CH0274
2022-03-17,2 RUE STEPHENSON,44000.0,namas,109.0,5.0,1,583657.0,5355.0,32.0,47.224705,-1.528,44109000CH0925
2021-09-22,47 RUE DE LA VILLE EN PIERRE,44000.0,namas,116.0,7.0,0,602638.0,5195.0,42.0,47.224807,-1.527872,44109000CH0928
2021-01-11,10 RUE STEPHENSON,44000.0,namas,86.0,4.0,0,525000.0,6105.0,54.0,47.22428,-1.528321,44109000CH0272
2021-04-30,82 RUE DE LA VILLE EN PIERRE,44000.0,butas,246.0,7.0,0,720000.0,2927.0,59.0,47.225132,-1.528974,44109000BW0562
2023-05-09,3 RUE ETIENNE LARCHEY,44000.0,namas,100.0,6.0,0,509850.0,5098.0,64.0,47.225288,-1.528087,44109000BW0219
2021-10-29,41 BD ERNEST DALBY,44000.0,butas,39.0,1.0,2,100000.0,2564.0,67.0,47.224744,-1.529302,44109000CH0251
2021-03-08,6 RUE ETIENNE LARCHEY,44000.0,namas,220.0,4.0,0,815000.0,3705.0,67.0,47.225359,-1.528494,44109000BW0204
2021-11-05,41 BD ERNEST DALBY,44000.0,butas,39.0,1.0,1,139000.0,3564.0,67.0,47.224744,-1.529302,44109000CH0251
2021-10-27,41 BD ERNEST DALBY,44000.0,butas,27.0,1.0,2,100000.0,3704.0,67.0,47.224744,-1.529302,44109000CH0251
2024-06-10,12 RUE STEPHENSON,44000.0,namas,81.0,3.0,1,365000.0,4506.0,67.0,47.224158,-1.528433,44109000CH0271
2023-09-22,14 RUE STEPHENSON,44000.0,butas,29.0,1.0,1,100000.0,3448.0,76.0,47.224092,-1.528657,44109000CH0270
2021-06-25,13 RUE STEPHENSON,44000.0,namas,210.0,7.0,0,910000.0,4333.0,76.0,47.224168,-1.527906,44109000CH0305
2024-12-13,37 BD ERNEST DALBY,44000.0,butas,93.0,4.0,1,305000.0,3280.0,76.0,47.225224,-1.529157,44109000BW0199
2022-07-05,14 RUE STEPHENSON,44000.0,butas,35.0,1.0,1,96000.0,2743.0,76.0,47.224092,-1.528657,44109000CH0270
2022-07-06,47 BD ERNEST DALBY,44000.0,butas,18.0,1.0,0,140000.0,7778.0,78.0,47.22448,-1.529372,44109000CH0254
2023-02-02,47 BD ERNEST DALBY,44000.0,butas,71.0,3.0,0,176968.0,2493.0,78.0,47.22448,-1.529372,44109000CH0254
2023-11-28,47 BD ERNEST DALBY,44000.0,butas,22.0,1.0,1,72000.0,3273.0,78.0,47.22448,-1.529372,44109000CH0254
2025-11-17,47 BD ERNEST DALBY,44000.0,butas,71.0,3.0,0,228600.0,3220.0,78.0,47.22448,-1.529372,44109000CH0254
2021-06-09,47 BD ERNEST DALBY,44000.0,butas,71.0,3.0,1,215000.0,3028.0,78.0,47.22448,-1.529372,44109000CH0254
2021-04-22,62 RUE DE LA VILLE EN PIERRE,44000.0,butas,30.0,2.0,0,150000.0,5000.0,82.0,47.225004,-1.527406,44109000BW0532
2021-09-29,2 RUE CHAMPENOIS,44000.0,butas,25.0,1.0,0,117000.0,4680.0,82.0,47.225004,-1.527406,44109000BW0532
2024-05-22,62 RUE DE LA VILLE EN PIERRE,44000.0,butas,30.0,2.0,0,98000.0,3267.0,82.0,47.225004,-1.527406,44109000BW0532
2024-12-06,49 BD ERNEST DALBY,44000.0,butas,46.0,2.0,1,77500.0,1685.0,85.0,47.224234,-1.529237,44109000CH0911
2021-09-14,49 BD ERNEST DALBY,44000.0,butas,46.0,2.0,1,84100.0,1828.0,85.0,47.224234,-1.529237,44109000CH0911
2024-12-05,49 BD ERNEST DALBY,44000.0,butas,69.0,3.0,1,124400.0,1803.0,85.0,47.224234,-1.529237,44109000CH0911
2021-08-31,49 BD ERNEST DALBY,44000.0,butas,69.0,3.0,1,119700.0,1735.0,85.0,47.224234,-1.529237,44109000CH0911
2023-03-15,49 BD ERNEST DALBY,44000.0,butas,47.0,2.0,1,100000.0,2128.0,85.0,47.224234,-1.529237,44109000CH0911
2022-08-17,49 BD ERNEST DALBY,44000.0,butas,46.0,2.0,1,197000.0,4283.0,85.0,47.224234,-1.529237,44109000CH0911
2023-02-09,49 BD ERNEST DALBY,44000.0,butas,69.0,3.0,1,235000.0,3406.0,85.0,47.224234,-1.529237,44109000CH0911
2021-01-20,49 BD ERNEST DALBY,44000.0,butas,47.0,2.0,0,146261.0,3112.0,85.0,47.224234,-1.529237,44109000CH0911
2023-01-25,49 BD ERNEST DALBY,44000.0,butas,46.0,2.0,1,187000.0,4065.0,85.0,47.224234,-1.529237,44109000CH0911
2023-07-07,49 BD ERNEST DALBY,44000.0,butas,69.0,3.0,1,218500.0,3167.0,85.0,47.224234,-1.529237,44109000CH0911
2022-07-28,49 BD ERNEST DALBY,44000.0,butas,69.0,3.0,1,230000.0,3333.0,85.0,47.224234,-1.529237,44109000CH0911
2023-01-09,49 BD ERNEST DALBY,44000.0,butas,46.0,2.0,1,197000.0,4283.0,85.0,47.224234,-1.529237,44109000CH0911
2024-05-21,49 BD ERNEST DALBY,44000.0,butas,69.0,3.0,1,235000.0,3406.0,85.0,47.224234,-1.529237,44109000CH0911
2023-01-09,49 BD ERNEST DALBY,44000.0,butas,69.0,3.0,1,139300.0,2019.0,85.0,47.224234,-1.529237,44109000CH0911
2022-08-31,16 RUE STEPHENSON,44000.0,butas,69.0,3.0,1,236000.0,3420.0,87.0,47.223995,-1.528702,44109000CH0269
2023-09-15,16 RUE STEPHENSON,44000.0,butas,45.0,2.0,1,150000.0,3333.0,87.0,47.223995,-1.528702,44109000CH0269
2023-09-29,16 RUE STEPHENSON,44000.0,butas,62.0,3.0,1,190000.0,3065.0,87.0,47.223995,-1.528702,44109000CH0269
2025-11-26,33 BD ERNEST DALBY,44000.0,butas,39.0,2.0,1,118000.0,3026.0,99.0,47.225592,-1.528869,44109000BW0197
2022-01-27,61 RUE DE LA VILLE EN PIERRE,44000.0,butas,53.0,2.0,1,154800.0,2921.0,103.0,47.224902,-1.529769,44109000CH0245
2025-10-02,61 RUE DE LA VILLE EN PIERRE,44000.0,butas,43.0,2.0,1,104500.0,2430.0,103.0,47.224902,-1.529769,44109000CH0245
2025-08-12,61 RUE DE LA VILLE EN PIERRE,44000.0,butas,57.0,2.0,1,153000.0,2684.0,103.0,47.224902,-1.529769,44109000CH0245
2025-07-02,52 BD ERNEST DALBY,44000.0,butas,56.0,2.0,1,140000.0,2500.0,106.0,47.225226,-1.529637,44109000BW0027
2025-03-20,52 BD ERNEST DALBY,44000.0,butas,61.0,3.0,1,145000.0,2377.0,106.0,47.225226,-1.529637,44109000BW0027
2024-12-06,52 BD ERNEST DALBY,44000.0,butas,31.0,1.0,1,78000.0,2516.0,106.0,47.225226,-1.529637,44109000BW0027
2025-09-10,18 RUE STEPHENSON,44000.0,butas,73.0,3.0,0,335000.0,4589.0,106.0,47.223842,-1.528787,44109000CH0268
2025-01-30,52 BD ERNEST DALBY,44000.0,butas,71.0,3.0,1,145500.0,2049.0,106.0,47.225226,-1.529637,44109000BW0027
2024-07-22,52 BD ERNEST DALBY,44000.0,butas,59.0,3.0,0,145000.0,2458.0,106.0,47.225226,-1.529637,44109000BW0027
2024-08-05,52 BD ERNEST DALBY,44000.0,butas,48.0,2.0,0,135000.0,2812.0,106.0,47.225226,-1.529637,44109000BW0027
2024-04-25,9 RUE ETIENNE LARCHEY,44000.0,namas,82.0,5.0,1,374000.0,4561.0,110.0,47.225652,-1.527794,44109000BW0214
2021-05-03,48 BD ERNEST DALBY,44000.0,butas,20.0,1.0,1,137000.0,6850.0,115.0,47.225386,-1.52962,44109000BW0544
2021-06-01,48 BD ERNEST DALBY,44000.0,butas,25.0,2.0,1,120000.0,4800.0,115.0,47.225386,-1.52962,44109000BW0544
